Numero	URL	Code HTTP	Encodage	Occurrence
1	https://www.nouvelobs.com/voyage/20250103.OBS98574/la-douceur-de-dormir-dans-une-cabane-arty-au-fond-des-bois.html	200	UTF-8	32
2	https://www.blog-sandra-eas-coaching.com/post/la-douceur-la-force-de-l-acier-n-3	200	UTF-8	146
3	https://www.cliniquepsychosocialedemontreal.com/blogue/aimer-avec-douceur	200	utf-8	22
4	https://www.echos-judiciaires.com/actualites/bien-etre-au-travail-focus-sur-la-douceur/	200	UTF-8	50
5	https://www.lemonde.fr/m-gastronomie/article/2010/09/06/douceur-de-lait_5980709_4497540.html	200	UTF-8	27
6	https://www.cbnews.fr/marques/image-cadum-douceur-avec-romance-88335	200	UTF-8	31
7	https://lesradieuses.com/debuter-annee-en-douceur/	200	UTF-8	40
8	https://focusfamille.ca/2020/01/23/le-veritable-pouvoir-de-la-douceur-dans-le-couple/	200	UTF-8	47
9	https://urbania.ca/article/letre-humain-a-besoin-de-douceur	200	text/html	29
10	https://www.psycho-ressources.com/bibli/douceur.html	200	UTF-8	21
11	https://www.lemonde.fr/economie/article/2020/02/15/un-peu-de-douceur-dans-un-monde-de-sucre-brut_6029682_3234.html	200	UTF-8	31
12	https://www.elle.fr/Deco/News-tendances/ELLEdecoCrush-15-envies-deco-pour-commencer-l-annee-en-douceur	200	UTF-8	247
13	https://www.francebleu.fr/infos/environnement/douceur-hivernale-en-vendee-et-en-loire-atlantique-des-fleurs-et-des-chants-d-oiseaux-en-plein-mois-de-decembre-9448734	200	UTF-8	54
14	https://www.sudouest.fr/environnement/meteo/meteo-une-perturbation-de-la-douceur-et-un-coup-de-vent-sur-le-nord-ouest-de-la-france-pour-commencer-2025-22680069.php	200	UTF-8	28
15	https://www.psychologies.com/Couple/Crises-Divorce/Separation/Articles-et-Dossiers/Rupture-comment-quitter-l-autre-en-douceur	200	UTF-8	44
16	https://www.ouest-france.fr/sport/voile/en-image-demarrage-en-douceur-pour-la-brest-finistere-classic-f366c862-40f9-11ee-b6d7-a958e5b7485d	200	utf-8	23
17	https://www.midilibre.fr/2020/05/17/garage-pruvost-un-redemarrage-en-douceur,8891217.php	200	UTF-8	37
18	https://jhm.fr/en-janvier-une-reprise-des-rendez-vous-locaux-en-douceur/	200	UTF-8	52
19	https://www.20minutes.fr/sante/4129489-20241217-rennes-tout-passe-douceur-chu-promet-soins-dentaires-douleur	200	UTF-8	12
20	https://news.un.org/fr/story/2024/12/1151336	200	UTF-8	14
21	https://www.midilibre.fr/2024/12/17/lecole-a-fete-noel-en-douceur-12396552.php	200	UTF-8	39
22	https://www.francetvinfo.fr/culture/cuisine-et-gastronomie/gastronomie-la-douceur-et-la-rondeur-de-la-fourme-d-ambert_6901232.html	200	UTF-8	24
23	https://www.capital.fr/votre-carriere/arret-maladie-cette-solution-pour-reprendre-le-travail-en-douceur-seduit-de-plus-en-plus-1507076	200	UTF-8	36
24	https://www.radiofrance.fr/francemusique/podcasts/guitare-guitares/30e-anniversaire-dans-la-guitare-de-jobim-la-revolution-en-douceur-je-travaille-plus-que-je-ne-merite-1034057	200	UTF-8	27
25	https://www.loeildolivier.fr/2024/10/reche-de-myriam-gourfink-un-eloge-de-la-douceur/	200	UTF-8	34
26	https://www.le-pays.fr/belmont-de-la-loire-42670/actualites/un-temps-tout-en-douceur-avec-bebe_14610953/	200	utf-8	32
27	https://www.francebleu.fr/infos/societe/moselle-des-boites-a-douceur-pour-offrir-un-vrai-noel-aux-plus-precaires-2918608	200	UTF-8	73
28	https://www.radiofrance.fr/fip/tout-en-douceur-avec-bill-laurance-michael-league-4664033	200	UTF-8	24
29	https://www.femina.ch/societe/psycho/marie-robert-il-faut-redonner-de-la-puissance-a-la-douceur	200	utf-8	35
30	https://generationvoyage.fr/vaison-la-romaine-vaucluse/	200	UTF-8	15
31	https://weelz.ouest-france.fr/la-velosud-un-nouvel-itineraire-cyclable-pour-longer-les-pyrenees-en-douceur/	200	UTF-8	53
32	https://partir.ouest-france.fr/magazine/behuard-la-douceur-angevine/	200	UTF-8	43
33	https://www.humanite.fr/medias/arte/le-parfum-dirak-ou-la-douceur-de-lenfance-face-a-la-guerre	200	UTF-8	49
34	https://www.petitbleu.fr/2024/07/15/imperial-cocktail-une-touche-de-douceur-dans-lunivers-de-lalcool-12082685.php	200	UTF-8	27
35	https://www.lamontagne.fr/moulins-03000/loisirs/douceur-des-vins-et-dolce-vita-dans-le-saint-pourcinois_14539416/	200	utf-8	27
36	https://www.lequotidiendelart.com/articles/25378-drawing-now-d%C3%A9marrage-en-douceur.html	200	UTF-8	37
37	https://www.sudouest.fr/landes/hinx/hinx-les-oeuvres-tout-en-douceur-de-pawae-a-la-mediatheque-20619526.php	200	UTF-8	28
38	https://www.osservatoreromano.va/fr/news/2024-01/fra-004/la-douceur-de-la-parole-contre-la-violence-des-paroles.html	200	UTF-8	23
39	https://www.lavie.fr/ma-vie/sens-et-sante/comment-attaquer-lautomne-en-douceur-77978.php	200	UTF-8	23
40	https://www.force-ouvriere.fr/bd-la-vie-devant-soi-une-douceur-acidulee	200	utf-8	22
41	https://www.la-croix.com/culture/musique-airelle-besson-louis-chedid-cinq-albums-pour-finir-l-annee-tout-en-douceur-20241227	200	UTF-8	26
42	https://www.la-croix.com/Culture/Noel-musique-douceur-humilite-2022-12-24-1201247910	200	UTF-8	36
43	https://www.letarnlibre.com/festival-jazz-chanson-francaise-rock-musique-traditionnelle-ou-encore-douceur-orientale-a-lautrec/	200	UTF-8	49
44	https://focus.levif.be/livres/michel-pastoureau-voit-la-vie-en-rose-cette-couleur-reste-associee-a-la-douceur-a-la-feminite-et-au-bonheur/	200	UTF-8	44
45	https://www.magazine-avantages.fr/comment-adopter-la-couleur-douceur-de-l-aube,190234.asp	200	UTF-8	32
46	https://www.bewaremag.com/jordan-heraud/	200	UTF-8	15
47	https://www.guettapen.com/2024/12/11/kolsch-apporte-une-touche-de-douceur-au-titre-hollow/	200	UTF-8	48
48	https://nantes.maville.com/actu/actudet_-dans-la-cour-du-chateau-comme-une-touche-de-douceur-vue-_8-6405529_actu.Htm	200	UTF-8	16
49	https://www.ouest-france.fr/normandie/pontorson-50170/pontorson-notre-dame-une-rentree-en-douceur-6837232	200	utf-8	23
50	https://www.lindependant.fr/2025/01/05/entre-douceur-et-nostalgie-clap-de-fin-pour-le-village-de-noel-du-barcares-12426997.php	200	UTF-8	32
