MOT	OCCURRENCES	Nombre_de_documents
'MBC	1	0
'sky	1	0
'中	1	1
'天	1	0
'尹	2	1
'尹체포	2	1
'空	1	0
'가역성	1	0
'가짜	1	1
'강경파'	1	1
'강냉이'만	1	1
'개나리'	1	0
'건강경영'	1	0
'경찰관'에	1	1
'경호	2	0
'공용어'에	1	1
'과	1	0
'괜찮다'가	1	1
'괜찮다'라는	1	1
'괜찮다'와	1	1
'규제	1	1
'그가	1	1
'극한에	4	1
'기업건강지킴이'	1	1
'기호	1	0
'나의	1	1
'내란특검'	1	1
'노을이	1	1
'단물'말고	1	1
'대	1	1
'대상'	1	1
'대응	1	0
'데이트	1	1
'독서'	1	0
'드르륵'	1	1
'라	1	0
'라고	1	0
'란	1	0
'마지막	1	1
'맥스콘드로이틴	1	1
'목련'	1	0
'무력	2	1
'문법	1	1
'방언'이다.	1	1
'법한자전	1	0
'베이스	1	1
'별일	2	2
'부우웅'	1	0
'북한말'에	1	1
'불역성'이라고도	1	1
'비상계엄특검'	1	1
'사과	1	1
'사과'를	1	1
'사생활	4	1
'상황	1	1
'선택'하는	1	1
'세차'하려다	2	1
'소프트	1	0
'속도전'	1	0
'수상'	1	1
'순위'를	1	1
'스트레스'도	1	1
'슬프고	1	1
'시작하기	1	1
'신나는	2	1
'싫다'	1	1
'쓱'	1	0
'씨어터치	1	1
'아이스크림'	2	1
'안녕하세요	1	0
'안녕하세유'	1	0
'안녕하시꺄'	1	1
'어떤	1	1
'어륀쥐'라고	1	1
'언어	2	1
'언어'	1	1
'언어의	1	1
'얼음과자'	1	0
'얼음보숭이'	1	1
'얼음보숭이'가	1	1
'얼음보숭이'대신	1	1
'에	1	0
'에스키모'	1	0
'에스키모'를	1	1
'엑스마스'로	1	1
'영어	1	1
'오'쪽에	1	1
'오늘	1	1
'옥수수'도	1	1
'외국인등록증'도	1	1
'왼쪽	4	1
'왼쪽'	3	1
'위잉'	1	0
'윤	1	1
'윤석열	1	1
'을	1	0
'이	1	1
'이것'	4	1
'이라고	1	0
'이라고도	1	0
'일없다'는	1	1
'일없다'도	1	1
'일없다'만	1	1
'일정	1	1
'장미'	1	1
'전	1	0
'정상영업'	1	1
'제	1	0
'쥬스'라고도	1	1
'직승기'만	1	1
'창문	1	1
'총칭어'라	1	1
'친	1	0
'침팬지	1	1
'편집	2	2
'폐차'	2	0
'포도'로	1	1
'폭군의	1	1
'하늘'을	1	1
'하위어'라	1	1
'한국과	1	1
'한국의	1	0
'헬기'	2	0
'헬리꼽터'라는	1	1
'회화	1	1
'힌두스탄어'라고	1	1
.html	3	0
.innorame.com	2	0
.jpg	4	0
.kr	12	0
.png	11	0
.同时	1	0
.本站	1	0
A	47	0
A.	4	0
ABOUT	2	0
ACCIDENT	6	0
ACPM	2	0
AD	4	0
ADDRESS	1	0
AEM	1	0
AI	8	0
AIR	1	0
AIR医生	1	0
AI에	1	0
AI와	1	0
AI칩	1	0
ALERTMESSAGE	1	0
ANIMAUX	4	0
ANNE	1	0
ANTIBES	2	0
AP	1	0
API	1	0
APICLI	1	0
AP통신	1	0
ARE	2	0
ARRÊT	8	0
ARTE	1	0
AS	2	0
ASSE.	4	0
ASSP	4	0
ATM	1	0
ATOM	1	0
AU	2	0
Abby	1	0
Abonnement	2	0
AbonnementsPublicitéRédactionNous	1	0
Abonnés	3	0
Academy	1	0
Access	1	0
Accueil	5	0
AccueilLoisirsVins	1	0
Ace	1	0
Acheter	1	0
Actions	1	0
Activités	5	0
Actu	1	0
Actual	8	0
Actualité	12	0
Actualités	6	0
Adresse	2	0
Adultes	1	0
Aes	1	0
Affaires	2	0
Afrique	2	0
Agb	2	0
Agglutinative	1	0
Agriculture	2	0
Ahhhhhhh	2	0
AhhhhhhhLe	2	0
Ahjkdf	1	0
Aide	4	0
Aiel	1	0
Ainsi	1	0
Air	1	0
Al	2	0
Alani	8	0
Alani.	1	0
Albert	1	0
Albi	2	0
Alerte	2	0
Alexandre	4	0
Algérie	2	0
AliExpressCode	2	0
Alice	2	0
